Course,OutsideElective,ArtsCourses,DiscreteStructures,LinearAlgebra,ProbabilityStatistics,Calculus,Foundations,Systems,Capstone,ArchitecturePath,DataPath,DesignPath,MLPath,SecurityPath,SoftwarePath,CompBioPath,SystemsPath,TheoryPath,VisualCompPath
ENGN1010,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ENGN1570,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ENGN1580,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ENGN1600,t,f,f,f,f,f,f,f,f,r,f,f,f,f,f,f,f,f,f
ENGN1610,f,f,f,f,f,f,f,f,f,f,f,f,r,f,f,f,f,f,r
ENGN1630,t,f,f,f,f,f,f,f,f,c,f,f,f,f,f,f,f,f,f
ENGN1640,t,f,f,f,f,f,f,f,f,c,f,f,f,f,f,f,r,f,f
ENGN1650,t,f,f,f,f,f,f,f,f,c,f,f,f,f,f,f,f,f,f
ENGN1660,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ENGN1931I,f,f,f,f,f,f,f,f,f,f,f,r,f,f,f,f,f,f,f
ENGN1931Q,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ENGN2520,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ENGN2912E,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f,f,f,f
ENGN2912M,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f,f,f,f
MATH0100,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH0170,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH0180,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH0190,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH0200,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH0350,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH0520,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH0540,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1010,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1040,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1060,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1110,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1130,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1230,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1260,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1270,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1410,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1530,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1540,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1560,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1610,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MATH1620,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f
MUSC1210,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
NEUR1020,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
NEUR1030,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
NEUR1040,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
NEUR1650,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
NEUR1670,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
NEUR1680,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
PHIL1630,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
PHIL1855,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
PHIL1880,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
PHP2630,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
PHP2650,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
PHYS1600,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
PLCY1702X,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
VISA1720,f,f,f,f,f,f,f,f,f,f,f,r,f,f,f,f,f,f,f
